xBJ9lgOEkro,47365,257,10,0
XBJSfGM5dGY,113772,311,9,44
XBPrLU4Zspo,11733,37,1,6
XbuSTq9TZSI,1485,4,1,0
xby81m1GtH8,4994293,9007,1205,601
x_BYzj4jQEM,15920,54,1,7
XBz2wuGU9Cs,9339,24,4,8
XBz6d2VPgZw,244053,438,12,81
xc2Ctw8pGrc,675418,2376,180,471
Xc2OmGesDgo,11275,85,2,5
XC3h9PPpQtI,676,1,2,0
XC3yGH4nETQ,434544,908,124,100
_-xCcoG6Wlc,1106446,6359,277,1578
XcDzb6AeAI0,156021,730,27,79
XcFFaRpPdzs,47707,53,6,3
xcfYbwSXFVw,2754,6,0,0
xcgOzHorYag,5347,29,2,16
xchco5BLMQU,3408,17,4,7
XCHKYNFH9Lk,280336,1435,41,138
xCI_stZgRHc,415083,1427,53,197
xCKGA9yDNgQ,21440,77,0,27
xCLCNJpKLx8,553758,4365,82,179
XClRjF_xBj8,35641,33,9,16
XcMH5ntEWGQ,55094,152,7,9
XcNYS8j9Qkg,57690,94,2,15
xCQ3ZdnptUM,219999,974,20,132
-xCS0zZPAoA,54751,120,5,19
xcSwBHs1uD4,1486839,6011,216,737
xCWkAXGz8W8,663176,3016,130,763
xcYzjbIVlX8,437,3,0,0
xd1f5GeUWpg,26372,66,0,10
xD1OPkq6-Vg,356,0,0,1
xd7SESj-nfA,37234,104,3,39
xD9G6rUq_5I,1309377,6177,798,417
xDC6IlQdTLs,75176,214,16,20
xdgjUPMiiEc,49627,128,6,21
XDI3snWDWuo,26734,121,1,25
xdnibOE5L40,410057,2096,154,356
XDnXI6KXoeg,11144825,20213,4920,608
xdQyp5ewyew,8063,44,0,8
XdtbL0dP0X0,367537,2991,153,340
xDvdVxr48UU,16757,77,2,7
xEAsC8A1Ins,1794519,5120,256,162
XEBr-jUNgS0,37229,148,5,3
XECoJa7AU-c,71662,131,8,25
XEF8mU3Vanc,161064,770,45,95
XeGQr6g1i9I,8702,37,1,1
xehwopjgKGU,37282,77,1,14
xEIhAu0v-kU,70182,219,3,41
XELVUtQR080,7934,14,0,2
XemAlj9_qKE,140224,700,15,52
xEnYDuZSSy4,1564,10,1,2
XeO3jMZphhs,283838,1272,28,103
xEOHMxA4C-E,11328,27,5,2
xEqdoVnIFug,473629,1382,66,95
XEQJU3VPjHU,18904,39,4,0
xerkgvDm4Ig,375,2,0,2
XEsZK8pvveU,91914,309,6,127
xEtptEM2_mg,27950,134,3,8
XeU6SJorcvw,903829,3196,108,766
xEvb7B4O698,2912124,8177,382,1103
XF0e2BjTDh8,211159,480,26,119
XF33SnFIDAQ,837249,928,274,18
xf3htc2iZ9Y,18956,42,0,6
XF-736UPy0k,2738,15,0,2
XF7QaSY-8lY,14954,79,0,6
XFdEntyO6TY,831017,2176,181,270
xfeLsPRl3so,394103,1631,130,251
xfIJV6C9-fM,45332,39,2,3
XFK5SV1-Pzg,2061259,4789,300,214
XfKq2_EzkE4,195,1,1,0
x-FLqiu9nTs,98507,213,14,13
XFmCXGXAZ5A,21649,44,2,0
xfnmRVym22U,664645,1095,129,40
xfoGEGTl-sg,37828,61,3,3
XFoGxUA8btQ,76089,46,16,4
XFOoJ3gwplQ,262958,494,16,97
XFoP9Dy1jNc,111422,395,16,11
XFosHLSA03w,7324,24,0,5
XFTJJtOtFtI,260455,763,50,70
xfwm9CY5dao,178937,214,23,157
xFwOlEzzeFg,6423334,35531,747,4221
xfxhI_l9UYQ,3328,14,1,2
xG4b0-DSLrI,383977,2355,38,141
xG6__eK9jIE,14467,89,3,19
xG6V0I6_ZP8,105035,142,19,5
xGAAMQLb4ZE,880533,7276,431,414
XgBvOoE5uG0,206909,803,38,170
XG-c6CmPo4k,15987,49,3,2
XGCcothBtRs,3556,21,0,6
xGCLACE7SUI,207038,993,71,59
xGeYzlEV5KY,144574,657,14,41
-XggDv2QdHg,43693,76,10,4
xGGRJg-EzoI,366,0,0,0
XGgVzfEptX0,47380,170,6,52
xGj_wbPl-6w,1722946,5620,336,308
XgJZlsz7b_8,178794,712,86,40
xgkspBFxLi4,1989,12,3,0
XGkwMwwlTLQ,110171,176,23,12
XGmHx9PAaeE,2399,8,0,0
x-gp0GdNrK4,23758,16,24,3
XGQpnngBL_g,1799,1,2,0
x_Gr6RT8Aho,2505,16,0,1
XgUFwmrnLnM,23139,65,4,34
xGugDtX55CQ,1804206,3253,399,237
XGZ0K5Rpacw,50354,128,7,40
XgZihg6-VZQ,21580,34,3,10
Xh2kwqss0dQ,431595,2816,105,1758
Xh8fDMTvNew,24078,186,2,4
Xh-8LVuPArw,3824,6,0,1
x_H8vusyzN0,15830,23,0,0
XHbdoO7uCkk,69344,331,9,28
XHCai_8cuiU,4506,9,3,2
xHCQd9zv3ak,1292,5,0,2
xHd5cUGpJs4,4063,35,1,4
xHDeLp0sWBc,20243,123,5,3
X-HeG5tFKUo,35209,55,0,4
xHgLwzZ2_8s,611366,1234,86,80
xhgWGU6cQ00,917547,3438,111,105
XHGWTDHchVQ,871003,2399,107,733
xhhfBsq7qao,71357,125,9,7
XHHg1C8LGnk,16189,17,2,1
xHlaIIyiRSw,67310,3,2,0
xhlW1DSEAiw,53216,103,8,28
XhpJ11dNp2o,761013,1488,86,571
x-HRlq5Oldw,40290,131,2,13
xHrOaF4Dq5U,136193,356,19,25
XhrT25xehqs,44791,182,1,8
XhT1nAzegiE,5657,16,2,1
xHunA6CYHvo,8992,54,4,5
XhwgtlCns34,1719,2,0,0
XhWl0YaZKfY,502,1,0,0
XhxddKZYvH4,1185,6,0,0
XI12czsGYRc,175628,547,28,14
Xi3P8vUveVQ,1179748,9612,276,1747
XI5o939LHrE,24068,113,2,19
xi5rxsY_Nsw,228915,1121,25,280
xi7nytFOO2k,247849,1435,112,1068
XIcTr-m-R9U,276134,863,31,111
-_XIgfmDa1s,327617,737,22,241
XIhDPwuwQdc,3893,21,1,4
xIMi15Erjvo,44801,117,7,12
XINddkzfTzM,3619319,14146,461,485
xiNxK0Xiv2E,80149,150,6,9
XIPjMKd3-1U,5159,16,0,2
XIQbAhdlZt8,41472,114,5,1
XITc_tguH2o,104196,243,30,13
xiVeUn1rF3E,87366,404,40,44
xiwtX0NC0uA,300034,1240,43,220
xj04uvQx9l8,10980,31,0,8
xja_5iv4n_4,1409474,4129,477,449
xjCbC99HMdo,1189,6,0,1
